Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time
3,509,0,-0.8688068683376754,-0.8113873571973671,-0.934787989036069,2022-10-16,17:20:09
3,4558,17,1.0949641125286091,-0.6643692063380321,0.23598483114623384,2022-10-16,17:20:09
3,4731,0,-0.5826997028045566,0.8094164793894465,-0.16846991812340448,2022-10-16,17:20:09
3,5965,13,-0.8198044733067014,-0.41067817104618304,-0.47045952131440427,2022-10-16,17:20:09
3,194,5,-0.4832471147076024,-0.5274104752411178,-0.374956435520885,2022-10-16,17:20:09
3,4775,12,-0.16272690357318584,-0.6346212965593229,-0.6133865236383247,2022-10-16,17:20:09
3,4732,0,-0.5925001818107514,0.6657335372213955,-0.16093451169715764,2022-10-16,17:20:09
3,241,9,-0.8796096690604129,-0.7422086736975116,-0.3638990456562836,2022-10-16,17:20:09
3,304,7,0.7756689612699669,9.2654077666311,2.1989582051835277,2022-10-16,17:20:09
3,6888,17,5.787611651222068,0.6603003746759171,2.3153474718324047,2022-10-16,17:20:09
3,4529,13,-0.4300126946512261,-0.6641540315837557,-0.31835898073244434,2022-10-16,17:20:09
3,4461,0,-0.2428012718169821,-0.7468349309144539,-0.759507883034241,2022-10-16,17:20:09
3,7059,0,-0.40695929517074514,0.21741693668656292,0.3206762468499208,2022-10-16,17:20:09
3,3140,0,-0.32454617625501603,-0.6302102140966572,-0.8455098042033623,2022-10-16,17:20:16
3,4734,0,-0.3562863639455333,-0.3361739123779873,-0.31901423346516145,2022-10-16,17:20:16
3,1744,7,-0.21094971504684892,0.599943856101393,0.48350655093012374,2022-10-16,17:20:16
3,3315,0,2.645333069860858,-0.6657678422408286,1.1097643502245051,2022-10-16,17:20:16
3,6351,0,-0.40439780633958056,-0.6034747508778173,-0.8004611788290606,2022-10-16,17:20:16
3,1502,0,1.1444119838780467,-0.561085324285371,1.173815304847603,2022-10-16,17:20:16
3,4539,7,-0.751757965661417,-0.7327409845093511,-0.5583452940900872,2022-10-16,17:20:16
3,936,0,-0.26028621731667057,2.233873352699066,1.666237733484514,2022-10-16,17:20:16
3,5650,0,-0.012601384251020043,-0.7927747409524605,-0.7952191569673238,2022-10-16,17:20:16
3,935,0,-0.3177526623984492,1.8895937458568617,1.6609957116227771,2022-10-16,17:20:16
3,201,8,0.9337016852448581,-0.5218697253185012,0.7601870173199248,2022-10-16,17:20:16
3,498,7,-0.05169193119618332,0.7422281623666479,-0.2652016027907684,2022-10-16,17:20:16
3,4790,12,-0.607646376638507,-0.47334781822917804,-0.6521283414602241,2022-10-16,17:20:23
3,6964,17,-0.7915167270842756,-0.35688448247708865,-0.9371632801921685,2022-10-16,17:20:23
3,353,0,-0.7281477207828568,0.34194932572401643,1.5310099507700197,2022-10-16,17:20:23
3,5862,15,-0.3718780350917523,-0.725801598683938,-0.3416204527439018,2022-10-16,17:20:23
3,499,7,-0.05169193119618332,0.7422281623666479,-0.2652016027907684,2022-10-16,17:20:23
3,4611,6,0.04553327530845369,0.5708952642740821,1.1621026622502846,2022-10-16,17:20:23
3,937,4,-0.4363607321893296,1.4931342611026361,0.3722773995513936,2022-10-16,17:20:23
3,4536,0,-0.7434052846902282,-0.6437124299274999,-0.21269947758180968,2022-10-16,17:20:23
3,4417,6,-0.7543194544925815,-0.7495784090314777,-0.7702376465324837,2022-10-16,17:20:23
3,4835,11,-0.7475259406360147,0.4559381518019274,-0.9293821539911529,2022-10-16,17:20:23
3,4721,0,-0.4844721745833768,0.09084038748348384,0.005090149455041013,2022-10-16,17:20:23
3,4584,0,-0.008703466464465195,0.6420643142509941,0.7173498699185435,2022-10-16,17:20:23
3,4506,0,-0.7689088039222579,-0.36011210379123426,0.2697303468811652,2022-10-16,17:20:23
3,4540,7,-0.6220129879089517,-0.766846183062157,-0.45424201617965576,2022-10-16,17:20:29
3,4675,7,-0.48614271077761456,-0.13579242245811077,-0.15970591282331312,2022-10-16,17:20:29
3,4721,0,-0.5230058761304609,0.16346186705176124,-0.10015982073764544,2022-10-16,17:20:29
3,4611,0,0.04553327530845369,0.5708952642740821,1.1623483820250538,2022-10-16,17:20:29
3,4449,0,-0.6243517385808844,-0.19039301635574152,0.06398098880799159,2022-10-16,17:20:29
3,4585,0,0.03049844956031399,0.6431401880223759,0.7391370232813875,2022-10-16,17:20:29
3,432,0,1.223706768564532,-0.36683631486237106,0.900247288938208,2022-10-16,17:20:36
3,4973,9,0.4481324981197518,-0.41137748899758125,0.9709326774800666,2022-10-16,17:20:36
3,1883,5,-0.508862003019248,-0.512133067687495,-0.5196853828597774,2022-10-16,17:20:36
3,4507,0,-0.8459762070164262,-0.2148153509661104,1.2497427152511988,2022-10-16,17:20:36
3,4564,9,0.9904999158489416,0.18363450026517164,2.865432140948422,2022-10-16,17:20:36
3,4681,0,-0.7025328324712112,-0.6840576963543207,-0.043726179132384024,2022-10-16,17:20:36
3,4769,0,1.1818319946289721,-0.047732154270503244,1.5016054843893394,2022-10-16,17:20:36
3,4696,0,-0.29893128794337054,-0.5869600884871053,0.21739203485538589,2022-10-16,17:20:36
3,4654,2,-0.8102267324597382,-0.7131062881816317,-0.8586148588577045,2022-10-16,17:20:36
3,4576,0,0.006554097442906158,1.2488033276218096,1.6955602932736047,2022-10-16,17:20:36
3,4121,0,0.3912228984360524,-0.7831456706985925,-0.4566992139273449,2022-10-16,17:20:36
3,1559,7,-0.8165747699978417,-0.28528508299162403,-0.055848354687650544,2022-10-16,17:20:36
3,4740,0,-0.4138641781069278,0.5889161499447289,0.24712412760242486,2022-10-16,17:20:36
3,4658,7,-0.25661103768934757,-0.21271739711191573,-0.5300875199916616,2022-10-16,17:20:43
3,4413,0,-0.16729303583743582,0.257331853604831,0.3587628119391031,2022-10-16,17:20:43
